,,,,
280.5,-0.017,0.815,,
281.5,0.009,0.773,,
282.5,-0.01,0.797,,
283.5,0.005,0.761,,
284.5,-0.014,0.783,,
285.5,-0.009,0.83,,
286.5,0.017,0.858,,
287.5,-0.004,0.759,,
288.5,-0.009,0.753,,
289.5,0.002,0.825,,
290.5,-0.013,0.735,,
291.5,0.008,0.801,,
292.5,-0.012,0.788,,
293.5,-0.01,0.696,,
294.5,0.002,0.837,,
295.5,0.035,0.748,,
296.5,0,0.782,,
297.5,0.006,0.816,,
298.5,0.009,0.803,,
299.5,0.015,0.902,,
300.5,-0.008,0.757,,
301.5,-0.004,0.823,,
302.5,0.013,0.705,,
303.5,-0.011,0.752,,
304.5,-0.003,0.763,,
305.5,0.023,0.849,,
306.5,0.01,0.729,,
307.5,-0.008,0.87,,
308.5,0.02,0.785,,
309.5,-0.014,0.719,,
310.5,-0.003,0.742,,
311.5,-0.009,0.81,,
312.5,0.017,0.794,,
313.5,0.01,0.819,,
314.5,0.012,0.75,,
315.5,-0.012,0.749,,
316.5,0.008,0.74,,
317.5,0.001,0.72,,
318.5,-0.022,0.651,,
319.5,-0.001,0.822,,
320.5,-0.008,0.787,,
321.5,-0.015,0.787,,
322.5,-0.01,0.78,,
323.5,-0.016,0.706,,
324.5,-0.009,0.811,,
325.5,-0.008,0.839,,
326.5,-0.004,0.745,,
327.5,0.009,0.755,,
328.5,0.009,0.757,,
329.5,-0.009,0.696,,
330.5,-0.016,0.792,,
331.5,-0.011,0.699,,
332.5,0.019,0.934,,
333.5,-0.014,0.687,,
334.5,0.001,0.755,,
335.5,0.005,0.756,,
336.5,-0.012,0.767,,
337.5,-0.009,0.733,,
338.5,-0.016,0.711,,
339.5,-0.022,0.706,,
340.5,-0.022,0.823,,
341.5,-0.021,0.753,,
342.5,-0.009,0.722,,
343.5,-0.005,0.754,,
344.5,-0.003,0.819,,
345.5,0.014,0.729,,
346.5,-0.017,0.664,,
347.5,0.014,0.757,,
348.5,-0.018,0.802,,
349.5,0.001,0.735,,
350.5,0.009,0.756,,
351.5,-0.005,0.697,,
352.5,-0.008,0.625,,
353.5,-0.006,0.682,,
354.5,-0.006,0.72,,
355.5,-0.007,0.708,,
356.5,-0.009,0.698,,
357.5,-0.001,0.675,,
358.5,-0.012,0.682,,
359.5,-0.009,0.855,,
360.5,0.004,0.695,,
361.5,0.016,0.763,,
362.5,-0.018,0.733,,
363.5,-0.013,0.773,,
364.5,-0.009,0.724,,
365.5,-0.025,0.638,,
366.5,-0.004,0.851,,
367.5,-0.01,0.731,,
368.5,0.002,0.777,,
